Line,Train Name,From,Departure,To,Arrival
Main Line,Podi Menike,Colombo Fort,05:55,Badulla,16:00
Main Line,Podi Menike,Badulla,08:50,Colombo Fort,19:30
Main Line,Udarata Menike,Colombo Fort,09:45,Badulla,19:45
Main Line,Udarata Menike,Badulla,05:45,Colombo Fort,15:40
Main Line,Night Mail,Colombo Fort,20:00,Badulla,07:10
Main Line,Night Mail,Badulla,18:00,Colombo Fort,05:15
Main Line,Express (B),Colombo Fort,12:40,Hatton,19:52
Main Line,Express (A),Colombo Fort,10:35,Matale,13:52
Main Line,Express (B),Matale,05:15,Colombo Fort,09:45
Main Line,Express (A),Kandy,15:30,Colombo Fort,18:55
Main Line,Express (B),Kandy,10:25,Colombo Fort,13:40
Main Line,Express (B),Colombo Fort,16:35,Kandy,19:42
Main Line,Express (B),Matara,13:10,Colombo Fort,17:14
Main Line,Express (B),Colombo Fort,17:45,Kandy,20:58
Main Line,Express (B),Kandy,05:00,Colombo Fort,08:17
Coastal Line,Podi Menike,Colombo Fort,05:55,Badulla,16:00
Coastal Line,Podi Menike,Badulla,08:50,Colombo Fort,19:30
Coastal Line,Udarata Menike,Colombo Fort,09:45,Badulla,19:45
Coastal Line,Udarata Menike,Badulla,05:45,Colombo Fort,15:40
Coastal Line,Night Mail,Colombo Fort,20:00,Badulla,07:10
Coastal Line,Night Mail,Badulla,18:00,Colombo Fort,05:15
Coastal Line,Express (B),Colombo Fort,12:40,Hatton,19:52
Coastal Line,Express (A),Colombo Fort,10:35,Matale,13:52
Coastal Line,Express (B),Matale,05:15,Colombo Fort,09:45
Coastal Line,Express (A),Kandy,15:30,Colombo Fort,18:55
Coastal Line,Express (B),Kandy,10:25,Colombo Fort,13:40
Coastal Line,Express (B),Colombo Fort,16:35,Kandy,19:42
Coastal Line,Express (B),Matara,13:10,Colombo Fort,17:14
Coastal Line,Express (B),Colombo Fort,17:45,Kandy,20:58
Coastal Line,Express (B),Kandy,05:00,Colombo Fort,08:17
Northern Line,Podi Menike,Colombo Fort,05:55,Badulla,16:00
Northern Line,Podi Menike,Badulla,08:50,Colombo Fort,19:30
Northern Line,Udarata Menike,Colombo Fort,09:45,Badulla,19:45
Northern Line,Udarata Menike,Badulla,05:45,Colombo Fort,15:40
Northern Line,Night Mail,Colombo Fort,20:00,Badulla,07:10
Northern Line,Night Mail,Badulla,18:00,Colombo Fort,05:15
Northern Line,Express (B),Colombo Fort,12:40,Hatton,19:52
Northern Line,Express (A),Colombo Fort,10:35,Matale,13:52
Northern Line,Express (B),Matale,05:15,Colombo Fort,09:45
Northern Line,Express (A),Kandy,15:30,Colombo Fort,18:55
Northern Line,Express (B),Kandy,10:25,Colombo Fort,13:40
Northern Line,Express (B),Colombo Fort,16:35,Kandy,19:42
Northern Line,Express (B),Matara,13:10,Colombo Fort,17:14
Northern Line,Express (B),Colombo Fort,17:45,Kandy,20:58
Northern Line,Express (B),Kandy,05:00,Colombo Fort,08:17
Eastern Line,Podi Menike,Colombo Fort,05:55,Badulla,16:00
Eastern Line,Podi Menike,Badulla,08:50,Colombo Fort,19:30
Eastern Line,Udarata Menike,Colombo Fort,09:45,Badulla,19:45
Eastern Line,Udarata Menike,Badulla,05:45,Colombo Fort,15:40
Eastern Line,Night Mail,Colombo Fort,20:00,Badulla,07:10
Eastern Line,Night Mail,Badulla,18:00,Colombo Fort,05:15
Eastern Line,Express (B),Colombo Fort,12:40,Hatton,19:52
Eastern Line,Express (A),Colombo Fort,10:35,Matale,13:52
Eastern Line,Express (B),Matale,05:15,Colombo Fort,09:45
Eastern Line,Express (A),Kandy,15:30,Colombo Fort,18:55
Eastern Line,Express (B),Kandy,10:25,Colombo Fort,13:40
Eastern Line,Express (B),Colombo Fort,16:35,Kandy,19:42
Eastern Line,Express (B),Matara,13:10,Colombo Fort,17:14
Eastern Line,Express (B),Colombo Fort,17:45,Kandy,20:58
Eastern Line,Express (B),Kandy,05:00,Colombo Fort,08:17
Puttalam Line,Podi Menike,Colombo Fort,05:55,Badulla,16:00
Puttalam Line,Podi Menike,Badulla,08:50,Colombo Fort,19:30
Puttalam Line,Udarata Menike,Colombo Fort,09:45,Badulla,19:45
Puttalam Line,Udarata Menike,Badulla,05:45,Colombo Fort,15:40
Puttalam Line,Night Mail,Colombo Fort,20:00,Badulla,07:10
Puttalam Line,Night Mail,Badulla,18:00,Colombo Fort,05:15
Puttalam Line,Express (B),Colombo Fort,12:40,Hatton,19:52
Puttalam Line,Express (A),Colombo Fort,10:35,Matale,13:52
Puttalam Line,Express (B),Matale,05:15,Colombo Fort,09:45
Puttalam Line,Express (A),Kandy,15:30,Colombo Fort,18:55
Puttalam Line,Express (B),Kandy,10:25,Colombo Fort,13:40
Puttalam Line,Express (B),Colombo Fort,16:35,Kandy,19:42
Puttalam Line,Express (B),Matara,13:10,Colombo Fort,17:14
Puttalam Line,Express (B),Colombo Fort,17:45,Kandy,20:58
Puttalam Line,Express (B),Kandy,05:00,Colombo Fort,08:17
